state_code,num_employee_code,naics_code,inst_type_code,birth_date,sex,date_filed,closure_code,basis_code,issue_code,litigation_case_type
TN,D,,E,06/26/55,F,05/25/10,M3,GF,D2,
AZ,D,,K,03/07/45,F,03/30/10,M3,OR,O1,
FL,D,561612.0,E,11/08/77,F,01/26/10,,RB,A3,
TX,A,,E,04/23/87,F,07/02/10,,OR,T2,
IL,C,,E,09/17/86,F,03/16/10,M1,NH,T2,
AR,A,,E,07/11/78,F,11/04/09,M3,GF,D3,
CA,D,921110.0,G,11/20/67,F,06/09/10,,Z2,T2,
LA,B,922120.0,G,11/04/55,M,06/08/10,,WH,H1,
PA,C,541612.0,E,08/03/70,F,08/11/10,N2,OR,D2,
TN,A,,E,10/30/62,F,01/07/10,,T2,D2,
MD,C,452111.0,E,10/13/51,M,07/09/10,M3,RB,R5,
VA,A,,E,01/15/72,F,03/17/10,N2,OR,D2,
PA,B,446191.0,E,05/31/86,F,04/19/10,N2,OR,D2,
NY,,712110.0,E,,M,12/23/09,M3,NH,T2,
IL,A,236220.0,E,01/18/55,M,07/14/10,N2,OR,H2,
WI,D,551111.0,E,08/23/53,F,11/13/09,M1,UB,R6,
NJ,A,,E,06/02/55,F,11/20/09,M3,AO,D2,
IL,D,,E,12/23/45,M,12/17/09,M3,VB,D2,
CO,C,,E,,F,10/07/09,M3,GP,D1,
GA,A,524298.0,E,,F,04/29/10,M3,OR,D2,
GA,D,722310.0,E,08/04/91,M,08/23/10,M3,RB,D3,
IN,A,623110.0,E,05/20/66,M,12/18/09,M3,OC,D2,
VA,D,,G,12/14/74,M,03/05/10,,RB,P3,
MD,B,517212.0,E,03/18/86,F,12/16/09,,RB,D2,
TX,C,,G,11/28/74,F,03/02/10,M3,RW,D3,
WV,D,517110.0,E,03/28/71,F,07/07/10,M3,UB,D1,
LA,,485999.0,E,10/28/48,M,10/28/09,N2,Z1,D2,
SC,D,561110.0,E,09/03/46,F,10/02/09,M3,VB,R6,
NY,A,623990.0,E,02/02/56,F,07/20/10,Y1,GF,T2,
OH,D,561499.0,E,07/07/79,M,06/21/10,M3,RB,T4,
TX,B,,E,04/23/68,M,10/21/09,M4,T3,R6,
LA,U,,K,,F,05/17/10,,Z2,R6,
NY,A,,E,12/11/54,F,07/16/10,,OA,I1,
TX,C,921190.0,B,12/01/66,F,04/13/10,M3,OR,T2,
TX,D,622110.0,E,03/30/55,F,04/20/10,M3,GF,H1,
MS,A,562212.0,E,04/19/85,M,06/30/10,M3,RB,W1,
IL,D,333618.0,E,11/27/54,F,12/07/09,,OA,L1,
NC,D,,E,10/23/60,F,04/09/10,,GF,P3,
VA,B,623311.0,E,08/25/50,F,09/16/10,,T3,R6,
MI,D,722310.0,E,04/28/85,F,09/08/10,M2,RB,D2,
OH,C,921120.0,G,09/25/65,F,07/15/10,M3,GF,H2,
NY,A,,E,03/12/39,F,04/13/10,M1,OA,D2,
MS,A,,E,06/20/53,F,08/18/10,M3,RB,D2,
FL,A,722110.0,E,06/22/82,F,01/11/10,M3,GF,D2,
MD,C,485999.0,E,01/08/47,M,09/09/10,,OR,D2,
OR,U,335999.0,E,07/20/73,M,05/25/10,M2,AM,D2,
CO,C,541990.0,E,,N,01/13/10,Y2,OR,A3,
AZ,U,,E,05/01/66,M,06/25/10,M2,OR,T2,
CA,D,424990.0,E,04/16/61,F,07/28/10,,RB,T2,
MI,C,311919.0,E,10/07/61,M,09/29/10,M3,UA,D2,
IL,D,,E,01/15/66,M,07/21/10,M3,AM,L1,
MI,U,922190.0,E,09/23/53,F,08/23/10,M3,OA,H1,
NY,U,,G,02/05/47,M,01/21/10,M3,OA,T2,
IL,A,,E,12/15/57,F,07/02/10,M3,RB,H1,
TX,A,211111.0,E,11/09/54,M,07/22/10,,OR,D2,
AL,D,,E,06/23/54,M,08/04/10,M3,RB,D2,
GA,U,,E,,N,03/24/10,N2,GF,S4,
GA,A,,E,01/08/77,M,10/16/09,M3,RB,D3,
FL,U,,E,11/22/50,M,01/13/10,M3,NO,D3,
NY,U,,G,03/21/57,M,03/19/10,M3,VB,E1,
GA,D,,E,07/20/83,F,07/28/10,M3,GF,S4,
CA,C,451130.0,E,12/21/88,M,03/30/10,,WG,T2,
TN,A,,E,09/10/81,F,07/27/10,,OR,D3,
FL,D,,E,11/09/88,F,08/20/10,M3,T3,R6,
KS,D,486210.0,E,04/04/60,M,03/26/10,M3,OA,T2,
IL,D,311920.0,E,12/26/62,M,02/19/10,M3,NM,S3,
CA,D,561790.0,E,10/21/71,M,05/14/10,M3,RW,C1,
TN,D,,G,09/10/72,M,09/02/10,M3,OR,H2,
OR,C,,E,07/16/55,M,10/14/09,M2,Z2,D2,
FL,A,,E,08/15/54,M,09/30/10,,W5,D3,
CA,D,515210.0,E,06/18/81,F,07/16/10,M2,OR,H1,
NJ,U,,E,01/30/50,M,03/26/10,M2,RB,D2,
CA,C,311615.0,E,02/23/53,M,03/11/10,M3,NH,H1,
DC,D,,I,11/15/62,M,01/04/10,M3,GM,D3,
OH,A,,G,07/28/46,F,06/15/10,M3,OR,A3,
NY,D,,E,,M,01/20/10,M3,W4,R6,
TX,A,,E,05/04/52,F,08/16/10,,NO,D3,
OH,D,623110.0,E,02/13/79,F,05/25/10,M3,OR,D2,
GA,D,541990.0,E,11/06/58,F,09/24/10,,TP,D2,
IL,D,,E,06/26/62,M,12/08/09,M3,RB,T2,
OH,C,623220.0,E,09/03/54,M,08/31/10,M3,OA,D2,
WA,A,,E,02/05/55,F,03/29/10,N2,OR,D2,
NJ,A,624410.0,E,12/18/58,F,05/06/10,M3,VB,D2,
TN,D,452111.0,E,12/25/70,F,12/07/09,,GF,D1,
CO,D,311999.0,E,,N,06/22/10,M1,OR,T2,
TN,D,541620.0,E,04/19/64,M,10/09/09,M2,OR,D2,
NC,C,311615.0,E,07/18/83,M,03/02/10,M1,GM,S4,
GA,A,,E,09/01/83,F,12/04/09,,GF,D2,
TX,D,,E,02/08/71,M,08/31/10,M3,U2,H1,
FL,A,812199.0,E,09/21/66,M,09/27/10,,NO,D2,
AL,,611710.0,E,08/16/60,F,01/06/10,M3,T3,D2,
AL,D,445110.0,E,,F,03/22/10,M3,OR,D3,
CA,D,,E,09/17/44,F,05/04/10,N2,NO,P3,
FL,D,623312.0,E,07/20/65,F,05/17/10,,OR,D3,
AZ,D,452111.0,E,10/07/46,F,10/05/09,M3,Z2,H1,
TX,D,561110.0,E,,F,01/19/10,M3,OR,D2,
CO,D,812990.0,E,06/17/62,F,02/09/10,,RB,H2,
CA,D,611310.0,I,,N,01/27/10,,Z2,R6,
MD,C,,E,07/31/66,F,11/23/09,,W2,I1,
TX,A,722211.0,E,11/15/68,F,12/02/09,M2,RB,D2,
KS,U,,K,12/09/51,M,10/14/09,M3,OR,D3,
AL,A,,E,01/31/46,F,07/12/10,M3,OR,D3,
PA,D,331111.0,E,09/18/59,M,07/23/10,M3,W3,D2,
IL,A,521110.0,E,08/04/68,F,07/23/10,M2,OR,D3,
GA,C,623110.0,E,04/22/76,M,09/27/10,,RB,H1,
AZ,D,,E,,F,07/20/10,M3,RB,D2,
OH,B,623110.0,E,07/14/47,F,03/26/10,M3,OA,D2,
NY,A,,E,07/02/60,F,07/08/10,,NO,H1,
NY,D,813920.0,E,01/01/51,F,08/12/10,M3,OR,I1,
DC,C,721110.0,E,10/24/52,F,04/23/10,,OA,T2,
TX,D,,E,04/23/68,M,06/01/10,M3,OC,T2,
AZ,D,,E,10/19/61,M,09/02/10,Y1,RB,D1,
IL,A,713940.0,E,11/23/67,F,02/09/10,,OA,T2,
CT,C,721110.0,E,11/20/72,M,06/02/10,,UA,D2,
PA,D,,E,04/09/72,M,06/04/10,,RB,P3,
MO,U,,E,,F,06/21/10,M3,GF,A3,
DC,A,,K,09/27/52,M,03/08/10,M3,RB,H1,
SC,D,,G,,M,02/09/10,,OR,D3,
OH,D,,E,05/05/63,M,08/12/10,N2,RW,D2,
CO,U,,G,11/24/69,M,07/14/10,M3,RB,D2,
FL,D,445110.0,E,07/06/78,F,04/21/10,,OC,D2,
TN,A,921190.0,G,01/12/61,F,09/01/10,Y1,RB,D2,
HI,,624190.0,E,08/27/60,F,06/18/10,M3,OA,A3,
NV,D,484230.0,E,08/28/78,F,09/17/10,N2,GF,S4,
TN,A,,E,04/12/34,F,05/27/10,M2,OA,B3,
GA,,488119.0,E,01/01/65,M,12/04/09,M1,OR,D2,
TX,D,452910.0,E,06/19/70,M,11/06/09,,OC,D2,
MD,A,,E,05/30/39,F,09/17/10,,OA,D2,
TX,B,,E,12/04/59,F,06/02/10,X2,OA,D2,
TN,C,336611.0,E,09/22/80,M,10/13/09,M3,Z4,D2,
MO,A,,E,09/30/80,F,01/13/10,M3,RB,D2,
VA,D,336411.0,E,10/13/54,M,01/05/10,,AO,D2,
MI,D,624190.0,E,12/18/80,F,02/05/10,M5,RB,H1,
LA,,611110.0,K,01/19/59,F,11/09/09,,OR,T2,
TN,D,484121.0,E,11/19/68,F,01/04/10,M3,GF,T2,
OK,B,,E,09/15/55,F,03/23/10,M3,PF,W1,
PA,A,531120.0,E,07/23/30,M,11/24/09,,OA,D2,
FL,D,713110.0,E,12/09/57,F,01/21/10,M3,OR,H1,
PA,C,623311.0,E,06/11/69,,04/20/10,,GM,D2,
NV,A,,E,,F,10/15/09,N2,GF,H1,
NY,C,,E,01/02/48,F,07/15/10,M3,OA,H1,
MI,A,,E,08/22/59,F,03/23/10,M3,RB,T2,
HI,A,,E,12/07/49,F,06/08/10,,NO,D2,
MO,U,,E,04/26/86,M,04/21/10,,WA,T2,
TX,A,,E,,M,11/04/09,M3,AC,R6,
NY,A,,G,09/09/38,M,04/12/10,,OA,B1,
MO,A,,E,01/30/90,F,06/11/10,M1,GP,H1,
OK,B,561440.0,E,02/17/67,M,10/20/09,M3,OA,D3,
NC,D,337910.0,E,12/31/53,M,04/09/10,M3,U1,D2,
TX,A,,E,08/01/85,F,08/18/10,M3,RB,O1,
NY,A,,E,08/08/56,M,08/11/10,M3,AO,D2,
OH,A,922110.0,G,,F,12/03/09,M3,GF,T2,
KY,U,,E,06/22/50,M,07/01/10,,OA,T2,
IL,D,522110.0,E,06/11/75,M,02/03/10,M3,AJ,I1,
FL,D,511110.0,E,06/17/59,F,01/29/10,,OR,D2,
TN,B,336399.0,E,06/10/47,M,09/09/10,,OA,H1,
MD,D,,E,12/15/56,F,12/15/09,,OR,L1,
MD,D,541690.0,E,06/01/62,F,09/21/10,M2,OR,D2,
SC,B,,E,06/01/48,F,10/08/09,N2,RB,D3,
LA,A,,E,11/27/68,M,10/29/09,M3,OR,D2,
TN,A,522320.0,E,,F,02/08/10,,OR,R6,
TX,A,,E,09/16/68,F,12/16/09,N2,GF,D2,
FL,D,561110.0,E,11/28/80,M,09/17/10,,OR,T2,
VA,B,,E,03/07/46,F,06/30/10,,OR,T2,
CO,D,,E,06/15/76,M,01/28/10,M2,OR,T2,
PA,A,,E,03/18/76,M,08/09/10,,UC,R6,
IL,A,237310.0,E,07/05/55,M,08/05/10,M3,WL,R6,
AL,,237310.0,E,03/23/62,M,06/03/10,,RB,D2,
PA,A,531311.0,E,06/19/88,M,06/14/10,,GM,S5,
IN,A,,E,,M,02/04/10,M3,NO,D2,
CA,A,722211.0,E,11/15/82,F,12/22/09,M2,OR,T2,
NY,A,,E,03/17/54,M,04/23/10,X2,OA,A3,
TX,A,,E,09/27/73,M,08/25/10,M3,OR,T2,
MI,A,,N,11/19/80,F,03/23/10,M3,UC,D2,
WI,C,,E,09/02/63,F,09/29/10,,RB,T2,
CO,,,E,01/03/76,M,03/01/10,M2,OR,C1,
WV,D,922140.0,G,11/28/56,F,05/12/10,M3,OR,D1,
MI,C,921190.0,B,04/18/70,F,08/06/10,,RB,O1,
TN,D,,E,08/15/76,F,10/14/09,M4,RW,P3,
OH,D,611110.0,M,11/29/39,F,08/30/10,,OA,S3,
AL,D,447190.0,E,04/05/70,M,11/10/09,M3,OR,H1,
GA,C,,E,10/17/44,F,08/20/10,,Z4,D2,
NV,D,,E,10/09/61,F,05/19/10,N2,Z2,T2,
VA,U,336611.0,E,12/28/59,M,06/11/10,M2,OR,D3,
NY,C,921190.0,G,05/22/56,M,07/06/10,N2,RW,B1,
LA,D,484121.0,E,04/04/84,M,06/09/10,N2,OR,W1,
TX,C,,E,10/17/32,M,11/12/09,M2,OA,D2,
TX,D,481111.0,E,09/13/63,F,03/19/10,M3,RB,H1,
GA,D,623110.0,E,11/24/59,F,08/24/10,M3,OC,D2,
FL,B,532111.0,E,01/27/61,F,09/23/10,,GF,B5,
NY,,623110.0,E,11/23/57,F,09/13/10,M3,RB,D2,
IL,D,481111.0,E,02/23/70,M,04/19/10,M3,UA,D2,
NJ,D,,E,06/13/66,F,01/07/10,M3,GF,W1,
CA,D,541330.0,E,,F,02/24/10,M1,UA,R6,
CO,A,,E,03/16/40,M,05/05/10,,OA,D2,
GA,A,,E,12/28/54,M,04/12/10,M3,RB,D2,
CA,D,,G,03/14/77,F,07/07/10,,W1,D3,
CO,,622110.0,E,11/08/73,M,06/09/10,,UC,D3,
NY,D,,G,07/19/73,F,03/16/10,N2,RB,I1,
CO,D,447110.0,E,05/11/30,M,10/21/09,M3,GM,H1,
AL,D,722211.0,E,11/22/85,M,03/08/10,M3,RB,D2,
PA,C,311919.0,E,12/12/62,M,05/24/10,,OR,R6,
AR,A,,E,12/22/72,M,10/02/09,M2,T3,D1,
TX,D,,E,07/07/48,M,05/10/10,N2,RB,H2,
FL,A,611310.0,N,04/24/79,M,11/23/09,,OR,T2,
AZ,B,,E,03/14/38,F,03/16/10,M2,OA,B3,
FL,D,921190.0,E,02/28/78,F,01/06/10,M3,VB,H1,
WA,C,525190.0,E,07/05/48,F,02/22/10,M3,U2,T2,
NC,A,611710.0,E,,F,07/16/10,M3,RB,P3,
TN,A,,E,03/22/83,F,02/12/10,M3,RB,D2,
CA,D,713940.0,E,05/24/86,F,08/18/10,,AJ,S4,
CO,,,E,10/22/58,F,04/26/10,,NH,C1,
GA,D,452112.0,E,07/07/37,M,10/13/09,M2,WK,D2,
WI,A,541990.0,E,01/31/66,F,06/29/10,M3,GF,T2,
IL,A,445299.0,E,02/10/83,M,10/19/09,M3,GM,D2,
WI,,562219.0,E,07/02/58,F,03/08/10,M1,OA,T2,
FL,,813110.0,E,07/29/49,M,09/15/10,,OA,D2,
IN,A,,E,04/18/54,F,12/17/09,N2,OA,D3,
PA,A,813930.0,U,10/01/60,M,01/06/10,M3,T2,U1,
NY,D,,U,03/25/63,F,06/24/10,,OR,A3,
CA,D,611210.0,I,01/02/55,M,12/01/09,N2,NO,D2,
VA,A,621399.0,E,07/26/55,F,12/01/09,,NM,T4,
CA,D,,G,09/17/49,M,03/25/10,,XC,R6,
DC,C,,E,05/08/90,F,07/01/10,,RB,H1,
NY,D,,U,11/07/69,F,03/19/10,N2,GF,U1,
DC,D,813920.0,E,11/15/47,F,01/04/10,M2,OA,T2,
AL,A,,E,08/13/77,F,09/14/10,M3,OR,T2,
TN,D,452990.0,E,11/19/67,F,05/26/10,,UB,D2,
CA,D,,E,08/15/62,M,10/26/09,N2,OA,T2,
PA,C,,K,06/03/53,F,10/08/09,N2,OA,H1,
MD,A,,E,12/02/69,M,05/14/10,M2,RB,H1,
IN,D,,E,10/20/83,M,12/01/09,M3,OR,D2,
OK,U,,E,09/23/73,M,02/26/10,M2,Z3,I1,
IN,A,,E,12/30/80,F,07/21/10,M3,PF,T2,
FL,B,,E,01/20/63,F,06/16/10,M1,OR,D2,
CA,D,622110.0,E,05/19/62,F,07/16/10,,GF,W1,
TX,C,,E,01/30/57,F,01/13/10,M2,RB,D3,
MO,A,,O,09/28/53,N,01/22/10,Y1,Z4,P3,
NJ,A,,E,01/09/69,M,03/30/10,M3,OR,D2,
AL,,441110.0,E,08/15/53,M,04/20/10,,Z1,D2,
SC,D,522291.0,E,02/25/48,M,02/08/10,,Z3,R6,
TX,D,,U,10/12/48,F,10/07/09,M3,OA,S3,
TX,C,,E,11/23/81,F,04/14/10,M3,OR,H1,
TX,D,481111.0,E,09/29/45,M,08/20/10,,OA,T2,
NC,,522110.0,E,07/22/65,F,03/01/10,M1,GF,H2,
NV,A,,E,01/17/61,M,12/03/09,Y1,OR,S3,
TN,A,,E,09/29/53,M,05/03/10,M3,RB,D2,
FL,C,,E,08/08/65,F,09/03/10,M3,OR,D2,
GA,,488119.0,E,03/29/87,M,12/04/09,M1,OR,H1,
PA,B,611310.0,E,10/19/58,M,12/23/09,M3,VB,T2,
CA,U,,E,,M,02/09/10,,Z2,L1,
OH,C,,E,03/17/52,M,06/16/10,M2,AO,D2,
CO,D,481111.0,E,,F,08/12/10,,OC,D2,
GA,D,922120.0,E,04/09/59,F,11/13/09,M2,GF,H1,
NJ,A,,E,05/15/53,M,12/18/09,N2,NO,T2,
IN,D,,E,02/13/56,F,07/29/10,M3,GF,T2,
IL,D,561311.0,P,,N,06/09/10,,Z2,T2,
WA,D,,G,04/10/55,F,09/30/10,N2,U2,R6,
TX,D,,E,05/19/64,M,10/22/09,N2,RW,T4,
PA,A,,E,09/05/66,F,01/25/10,M2,OA,D2,
LA,D,,E,08/04/52,M,11/18/09,,OA,D2,
TN,A,,E,09/22/61,M,09/20/10,,OA,H1,
TN,D,,E,05/17/67,M,04/27/10,M3,NO,H2,
PA,A,,P,,M,02/11/10,M3,NM,H2,
NJ,D,481111.0,E,10/04/65,M,05/04/10,M2,NH,D2,
IN,D,,E,08/19/57,F,01/22/10,M3,RB,W1,
PA,A,,E,01/14/50,M,06/11/10,M3,OR,D3,
NY,D,922190.0,G,12/29/54,F,07/21/10,N2,OC,D2,
MN,C,,K,06/13/58,M,09/20/10,,OR,A3,
GA,A,,E,11/16/53,M,01/22/10,M5,RB,D2,
AZ,,622110.0,E,02/11/57,M,05/21/10,M3,OR,D3,
MO,C,238310.0,E,09/27/63,M,08/19/10,M3,OA,L1,
MN,A,523130.0,E,06/12/76,F,01/19/10,M1,Z2,R6,
CA,D,611110.0,K,01/04/55,F,03/05/10,M3,OR,R2,
NY,D,541910.0,E,02/21/63,F,11/13/09,,OR,D2,
VA,,524126.0,E,11/02/67,F,05/20/10,,OA,D2,
NC,A,,E,03/15/63,M,03/01/10,M3,OR,H1,
IL,A,,E,09/28/43,F,10/08/09,M2,OA,D2,
IL,D,722110.0,E,10/21/70,M,09/21/10,,AO,D2,
NY,A,,E,03/17/54,M,05/14/10,X2,AO,D2,
CA,D,,G,10/19/66,F,01/20/10,,OR,I1,
FL,D,445299.0,E,01/05/70,F,09/13/10,N2,NO,D2,
OK,C,,E,02/25/56,F,05/11/10,M3,OR,D2,
GA,A,,E,04/28/51,M,02/19/10,M3,OA,D2,
MO,C,623110.0,E,03/17/72,F,06/18/10,,RB,F1,
MO,A,623110.0,E,,N,09/07/10,N2,RB,T2,
TX,U,,E,07/17/68,M,05/21/10,M3,RB,C1,
NY,D,611310.0,N,10/30/46,F,07/16/10,,OA,D1,
AZ,B,488190.0,E,02/11/74,M,06/07/10,,RB,D3,
MA,A,623990.0,S,08/01/72,F,06/14/10,M3,GF,D3,
OK,A,311812.0,E,01/27/86,M,02/18/10,M2,RB,D2,
TX,D,541613.0,E,04/17/72,M,10/27/09,M3,,H1,
NC,D,452111.0,E,03/18/80,F,03/17/10,M3,OR,C1,
WA,A,,E,03/06/65,F,10/16/09,M2,RB,W1,
NY,D,,G,,F,02/11/10,M3,Z2,T2,
CA,D,611310.0,I,,F,03/11/10,M1,UC,T4,
SC,A,,E,10/11/63,F,04/30/10,,OR,H1,
FL,C,,E,09/13/50,F,09/22/10,M3,OR,D2,
IL,B,922120.0,G,01/01/38,M,03/16/10,N2,OA,P3,
CO,A,,E,02/25/66,F,11/17/09,M2,RB,D2,
NY,C,,E,08/01/80,M,02/16/10,,OR,D2,
SC,C,,G,06/07/73,F,01/06/10,,GF,C1,
VA,C,,E,08/27/63,M,03/02/10,,NO,D2,
GA,A,453998.0,E,03/01/78,F,12/16/09,,RB,P3,
WA,A,,E,08/08/66,F,09/24/10,M3,RS,D2,
AZ,C,,E,06/12/76,F,12/04/09,,AO,D2,
DE,D,,E,06/23/63,F,04/07/10,,OR,D2,
TN,D,452112.0,E,10/11/57,F,07/09/10,,OR,S5,
NY,A,,E,01/24/85,M,03/22/10,,OR,D2,
NV,D,713290.0,E,04/06/50,M,09/10/10,,OR,D3,
CO,D,311612.0,E,,M,11/03/09,,OC,W1,
IL,A,,U,07/19/84,F,09/20/10,M3,OC,U1,
CA,A,,E,,F,03/22/10,N2,GF,S4,
CA,A,522130.0,E,07/06/45,M,07/14/10,,OA,H2,
TX,B,,E,06/29/80,M,02/08/10,M3,RB,D2,
VA,A,,E,07/14/65,M,09/16/10,M3,WH,D2,
MO,B,813319.0,E,,F,04/29/10,N2,OR,T2,
OH,A,,E,06/29/45,F,07/07/10,,Z2,H1,
GA,D,,E,11/11/80,F,11/05/09,,OR,D2,
OH,B,,M,11/24/62,F,12/04/09,M3,RB,D2,
KY,C,921190.0,G,06/19/73,M,03/18/10,M3,RB,H1,
NM,C,921190.0,G,08/13/55,F,12/29/09,M3,Z4,D2,
AL,B,,E,03/26/49,F,03/02/10,,OA,D2,
WA,,561613.0,E,09/08/59,M,12/29/09,M3,U2,R6,
NC,U,,G,04/16/37,F,07/20/10,N2,OA,I1,
CA,A,,E,11/05/55,M,02/26/10,,AO,H1,
IL,D,492110.0,E,05/20/82,M,01/07/10,,Z2,R6,
ND,A,624190.0,E,03/02/61,F,12/14/09,M3,RW,H1,
TN,A,,E,11/13/46,M,09/24/10,M2,GM,D2,
CA,,423110.0,E,01/24/73,F,04/08/10,N2,Z3,B4,
GA,C,541990.0,G,12/14/58,F,01/07/10,M3,Z2,H1,
AZ,C,444110.0,E,02/28/54,M,08/12/10,M3,OR,T3,
MO,A,,E,06/30/84,F,04/07/10,N2,OR,D2,
CA,D,622110.0,E,12/23/58,F,02/26/10,,OR,T2,
VA,D,,E,10/14/73,M,06/09/10,,RB,P3,
NY,D,624190.0,E,07/24/68,F,09/10/10,M3,U1,H1,
LA,A,923130.0,E,,F,03/17/10,X2,RB,D1,
WI,U,,E,,N,09/16/10,N2,GF,H1,
CA,D,561790.0,E,11/15/54,F,01/22/10,,GF,J1,
PA,A,441110.0,E,,F,05/05/10,,PF,W1,
NM,D,561790.0,E,05/07/73,F,09/13/10,,GF,D2,
NY,D,,G,08/11/52,F,10/27/09,M3,OR,H2,
KS,C,623220.0,E,10/24/46,F,03/01/10,,GF,T2,
FL,A,524114.0,E,01/24/68,F,10/06/09,M3,RB,D2,
NC,A,623990.0,E,05/11/62,F,10/27/09,M3,RB,D2,
NC,D,493110.0,E,08/17/72,F,11/24/09,M1,GP,D2,
SC,C,488991.0,E,10/31/67,M,02/12/10,M3,T7,H2,
PA,A,611110.0,M,01/12/56,F,06/03/10,,Y1,R6,
MI,D,523110.0,E,08/24/79,M,12/14/09,M3,NO,H1,
CA,C,,E,12/24/83,F,01/05/10,N2,NM,T2,
TX,D,,E,10/02/73,F,01/18/10,,GF,D1,
GA,C,,E,03/17/82,F,08/31/10,,GP,L1,
KY,A,,E,02/09/84,M,09/03/10,M2,AO,D3,
AR,B,336399.0,E,05/05/54,M,03/08/10,M3,OA,T2,
CA,D,452910.0,E,07/06/72,M,01/12/10,M2,AM,D2,
TX,U,,E,01/18/77,F,01/22/10,M3,NH,D2,
CA,D,234110.0,G,07/12/48,F,11/04/09,M1,OA,D3,
MN,D,622110.0,E,,M,09/07/10,,OR,D2,
MO,A,,E,,F,04/06/10,N2,GF,D2,
FL,U,,I,08/15/59,F,11/06/09,,RB,J1,
AL,,,E,07/02/71,F,02/05/10,M1,GF,C1,
CO,D,,G,,F,05/11/10,M3,UB,H1,
LA,B,721199.0,E,06/04/53,M,04/07/10,,OA,H2,
DE,D,,E,01/06/74,M,12/07/09,N2,GM,D3,
FL,U,,E,10/02/58,F,09/11/10,,RB,H1,
OH,A,,E,04/04/55,F,07/28/10,,RB,D2,
TX,D,,E,08/14/83,M,06/03/10,M3,RB,H1,
TN,C,,E,03/07/49,F,12/03/09,M5,OR,L1,Class
FL,A,,E,09/22/69,F,02/02/10,,NO,H1,
TX,D,,E,12/16/86,M,04/21/10,M3,RW,D2,
NJ,D,,E,10/05/65,F,12/30/09,M3,GF,D2,
OH,D,,E,03/25/57,M,02/22/10,M3,GM,D2,
MO,D,,G,08/22/82,M,07/16/10,M3,RB,D3,
OK,B,,E,06/16/64,F,02/26/10,X2,GF,S4,
NC,A,722310.0,E,12/14/48,M,08/03/10,,OR,T2,
MO,A,,E,09/22/86,F,11/19/09,M3,OR,H1,
TN,A,722211.0,E,10/31/85,F,03/05/10,M3,OR,T2,
TN,A,,G,06/27/52,M,02/26/10,M3,Z4,D2,
VA,D,445310.0,G,07/09/55,M,08/27/10,M2,Z4,R6,
OH,D,522110.0,E,08/29/54,F,10/01/09,M3,RB,D2,
CA,D,561612.0,E,09/30/62,M,08/26/10,,OR,R2,
PA,D,,E,,M,01/25/10,,WF,D2,
FL,C,722110.0,E,06/20/72,F,08/25/10,M2,GF,D2,
TN,A,541330.0,E,06/12/41,M,05/21/10,M2,OA,D2,
FL,D,622110.0,E,09/08/58,F,08/05/10,M2,OR,D3,
CA,D,561612.0,E,06/28/66,M,01/04/10,,OA,L1,
NC,N,448120.0,E,08/04/84,F,07/16/10,,GP,W1,
FL,A,,E,03/22/77,F,06/04/10,Y1,OR,D2,
GA,,488119.0,E,01/01/65,M,12/04/09,M1,AO,D2,
FL,C,517910.0,E,11/04/84,N,10/26/09,M3,OR,D3,
NC,C,,E,02/16/83,F,09/22/10,M3,RB,D2,
PR,U,,E,01/28/66,F,02/26/10,M3,GF,S4,
VA,B,551114.0,E,02/25/65,M,02/04/10,M3,RB,D1,
CO,A,,E,10/01/72,F,11/03/09,,GF,P3,
IN,D,112990.0,E,06/27/68,F,08/25/10,,NH,D2,
IL,A,561499.0,E,01/30/73,F,09/20/10,,OR,T2,
MA,D,541330.0,E,02/25/58,M,08/02/10,M3,OR,T2,
VA,D,,K,12/02/54,M,02/22/10,,OR,H1,
GA,D,,E,03/23/87,M,03/08/10,M3,OR,S5,
TN,D,,E,01/23/58,M,11/17/09,,RW,H1,
IL,D,,E,09/09/74,F,09/29/10,,UB,R6,
NY,D,,K,02/16/57,F,02/16/10,,OR,H1,
OK,A,,E,08/16/42,M,07/14/10,M3,OA,D2,
KY,D,517919.0,E,09/16/75,F,03/02/10,,UB,H1,
GA,C,,E,06/24/83,F,05/06/10,M3,RB,D2,
IN,B,922120.0,G,04/16/59,M,01/21/10,M3,Z4,R4,
MN,D,611110.0,K,08/02/52,F,02/16/10,,OR,D3,
SD,A,523991.0,E,11/06/54,F,06/25/10,M2,OA,D2,
NM,N,452990.0,E,12/06/67,F,11/24/09,M3,OA,D2,
MO,C,,G,,F,04/26/10,,GF,S4,
TX,B,332312.0,E,05/03/76,M,05/18/10,M3,NO,D3,
NY,D,,E,08/29/72,M,11/09/09,M3,Z3,I1,
NY,U,,G,03/21/57,M,03/19/10,M3,VB,I1,
PA,A,541990.0,E,01/02/52,M,11/10/09,M3,Z4,D2,
OK,U,,E,03/24/80,F,10/29/09,M2,GP,D2,
NY,,622110.0,E,10/20/64,F,01/15/10,M3,OA,Q1,
MS,A,611110.0,K,12/31/59,F,08/30/10,M2,RB,D2,
NY,D,454390.0,E,11/29/60,F,09/14/10,N2,OC,D2,
TX,D,,G,09/22/73,F,01/26/10,M3,OR,D2,
TN,A,722110.0,E,09/23/62,F,03/05/10,,RW,S4,
MS,U,,E,09/29/40,F,08/12/10,M3,OA,D2,
IN,A,,K,04/22/52,F,09/01/10,M3,OA,T2,
